RT,LT,ST
0.0870582124,0.0438773539,0.0018023477
0.0907073213,0.0422019391,0.0003947567
0.0863243343,0.0414088562,0
0.0809051181,0.0409747095,0.0004488609
0.0780887346,0.0405906233,0.0008677976
0.0750512967,0.0429024826,0.0013128198
0.0731986962,0.0460102998,0.0016316262
0.0611394235,0.0470681749,0.0040826324
0.0457637096,0.0481754497,0.0069897319
0.0414361548,0.051875959,0.0122992477
0.0407372788,0.0578200689,0.0197698195
0.0430164276,0.0681047807,0.032104645
0.043438626,0.08241047,0.0454066261
0.0153688431,0.1060159056,0.0677136901
0.008425466,0.1176460318,0.0802041488
0.0081445577,0.1201371268,0.0839843448
0.0014460341,0.1210052927,0.0854244614
0,0.1232891163,0.0863243343
0.0005399663,0.1272501486,0.0889034406
0.001505353,0.1385406233,0.0943090477
0.0051039885,0.129329032,0.0879550525
0.01381611,0.1242924214,0.0841446937
0.0322214506,0.122695256,0.083701508
0.0450700829,0.0790003578,0.0760449278
0.0604338376,0.0651936655,0.0628918174
0.0547760076,0.0495071652,0.047858899
0.0503514324,0.0353373149,0.034132757
0.0496206085,0.0270577821,0.026506806
0.0505687115,0.0201828368,20229507953
0.0650169437,0.0146309395,0.0152419318
0.0919985866,0.0133597769,0.0140471498
0.0909580214,0.0133774151,0.014512819
0.089620151,0.0119547675,0.0134272817
0.0890534414,0.0112226085,0.0130457483
0.0948769647,0.0099091418,0.0122878521
0.0980771928,0.0401490681,0.011141358
0.0917434619,0.0419921232,0.0063338651
0.09112225,0.0416953222,0.0065984997
0.0905378752,0.0421986723,0.0076906605
0.0901405042,0.0427252419,0.0084553281
0.0902545965,0.0417220277,0.0056692731
0.0901933084,0.0412565668,0.0057224583
0.0894049457,0.0411379988,0.0062330859
0.0878526743,0.0436267845,0.0037771742
0.0862177143,0.0419386861,0.0024330913
0.0828909034,0.0481947188,0.0048935007
0.0811334981,0.0486741425,0.006121651
0.0799064148,0.049568184,0.0079184677
0.0789890431,0.0500770492,0.0094548539
0.0784666248,0.0512781932,0.0108723678
0.0776814446,0.0523211736,0.0119323128
0.0757607816,0.0500627826,0.0118829611
0.0736444178,0.0487756912,0.0103793663
0.0725146029,0.0475144921,0.0114609166
0.0720140403,0.0459639207,0.0104365546
0.0713076687,0.0447950564,0.0097878459
0.0702058007,0.0440899225,0.0096567052
0.0734718093,0.0409062644,0.0068569924
0.0882357483,0.0378769777,0.0040578101
0.0292156816,0.0402344392,0.0074671778
0.0271993724,0.0425436667,0.0098588834
0.0247536037,0.0444882976,0.0120146247
0.0227981742,0.0459383534,0.0132355271
0.0195277781,0.0481656904,0.0131242354
0.0167151897,0.0584629188,0.0142093438
0.0150423022,0.062321815,0.0180101583
0.0139716375,0.0607725428,0.0165144405
0.0131559234,0.0595658525,0.0159613321
0.0122710921,0.058202277,0.0152781513
0.0117307824,0.0551053942,0.0125564408
0.0111883723,0.0538587179,0.0119633464
0.010548341,0.0527169233,0.0114745635
0.0667038378,0.0462811355,0.0057453712
0.0868692516,0.0456266304,0.0059142909
0.0855159836,0.0473537919,0.0073080449
0.0850046072,0.0471472603,0.0077164957
0.0850810198,0.0477821353,0.0088260398
0.0845609489,0.048388185,0.0086136778
0.0842403566,0.0446956,0.0045424938
0.0840575031,0.0449927899,0.007322157
0.0841604506,0.0448298975,0.0080580046
0.0837322446,0.0446049125,0.0089916044
0.0832455889,0.0445013192,0.0099199066
0.0852195736,0.0438658033,0.0083598853
0.0846877389,0.0428029996,0.0072180588
0.0837627344,0.0421347445,0.0071113589
0.0827747691,0.0413292791,0.0068674488
0.0812457222,0.0409787172,0.007023279
0.079481353,0.0408789417,0.0073798042
0.0772032674,0.0429915749,0.0081571049
0.0745655603,0.0483378273,0.007143787
0.0733309265,0.0511455297,0.0081773228
0.0839249815,0.0500043042,0.0075939747
0.0858772783,0.0484546753,0.0060904242
0.0876055705,0.0487215114,0.0068231113
0.08714971,0.0484278376,0.0064308843
0.0867038262,0.0499455041,0.0088376501
0.0868875687,0.0497407579,0.009682065
0.0896378543,0.0481606283,0.0085833873
0.0915904936,0.0480794103,0.0090637246
0.0923455473,0.0488330056,0.0103777752
0.0945271813,0.0451522273,0.0130299887
0.0987942058,0.0446061643,0.0177034513
0.1063242069,0.0462048376,0.0251889363
0.1172076594,0.050109613,0.0359443352
0.130641917,0.0560625185,0.0498361778
0.1483055374,0.0625415991,0.0654217018
0.1626920792,0.0687971644,0.0808016659
0.1794752284,0.0724797573,0.0946880455
0.1882246985,0.0549275251,0.1047203463
0.1907860553,0.0353000622,0.1079705076
0.1974341105,0.0273798685,0.1036184627
0.1979256563,0.0232581175,0.0988478245
0.195356864,0.0264226899,0.0995283488
0.1920229735,0.0321372755,0.0980196799
0.1859357724,0.0429123201,0.0953399328
0.1774556669,0.0630327773,0.0905933078
0.1655418008,0.0713597641,0.0824491784
0.1509146417,0.0684687828,0.0694486196
0.1338789856,0.0621515401,0.0546348549
0.1162061901,0.054508973,0.0396076871
0.1003263035,0.0475805474,0.0264582108
0.0874200891,0.0425135604,0.0162206569
0.0808906825,0.043531292,0.0121290625
0.0783100655,0.0516090408,0.011623698
0.0792543731,0.0465173051,0.0149876285
0.087861924,0.0455984447,0.0197491744
0.098501932,0.0470246031,0.0275147911
0.1193946886,0.0488444412,0.0366210421
0.1289538601,0.0391100823,0.0452659567
0.1333056957,0.0194465625,0.0502130833
0.1344049824,0.0079708896,0.0506840682
0.1366816536,0.0026589008,0.0425476944
0.140226858,0.0008060508,0.0409508616
0.1232891163,0,0.0414088562
0.1116723874,0.0010929849,0.0435328808
0.1037322159,0.0031036695,0.0467065729
0.0952627438,0.0055405723,0.0496021577
0.090717878,0.0148603433,0.0526536548
0.0842203061,0.0342087173,0.0532457016
0.0708228035,0.0531173582,0.0499942601
0.0556227984,0.05057482,0.0423765393
0.0430776532,0.0473524567,0.0342434008
0.0349437849,0.0461235893,0.0292408278
0.0299119719,0.0518367454,0.027734045
0.0274396405,0.0720973614,0.0357064836
0.0261379981,0.0850397568,0.0471540372
0.0259568326,0.1004856326,0.0555729597
0.0320921899,0.1017293014,0.0544242672
0.0329776762,0.0978934675,0.0511928114
0.0323269433,0.093673026,0.04706025
0.0379505951,0.0901817952,0.0436844802
0.0409752688,0.0858505874,0.0395990833
0.0427356816,0.0779890351,0.0325710762
0.0536792253,0.0725641703,0.0283724632
0.0532632328,0.0686006746,0.0256352192
0.0552231161,0.0637422614,0.0213494337
0.058226726,0.0592752061,0.0174703537
0.0614445517,0.0542516939,0.0128681748
0.0650157934,0.0514314957,0.0107015585
0.078030205,0.0488353495,0.00874833
0.0782312989,0.0482703954,0.0083589067
0.0816507172,0.0459550099,0.0059789138
0.0847576371,0.0452548969,0.0058724569
0.0887091337,0.0455845038,0.006996601
